id,text,label
135,Бул музей оте кызык болды,positive
136,Бул оте курделi жоба болып шықты,neutral
137,Кино катты жагымды болмады,negative
138,Мага бул рестораннын тамагы унамады,negative
139,Керемет танысу кеши отти,positive
140,Фильмде ештене тусiнiксiз болды,negative
141,Кешки ас тамаша болды,positive
142,Суретшiнiн таланты ерекше,positive
143,Бул онiмнин сапасы жаксы емес,negative
144,Бугiнгi кун керемет отти,positive
145,Музика оте катты болды мага унамады,negative
146,Фильм тым ауыр болды,negative
147,Жаңа достар табу өте қызық,positive
148,Бул жумыс менин кунiмди кызыксыз етти,negative
149,Бул кыстыгi уакыт жагымды болды,positive
150,Сапасы оте томен мен ренжiдiм,negative
151,Бул тағам маған оте унады,positive
152,Тауар жаксы сапалы,positive
153,Жумыс орнында ыстык атмосфера болды,positive
154,Фильмнин аягы тушiнiксiз болды,negative
155,Музика оте жаксы болды,positive
156,Кызмет корсету сапасы оте нашар,negative
157,Демалыс орындары тартымды болды,positive
158,Мен осы жумыска катты алгашында унамады,neutral
159,Оте керемет әсер алдым,positive
160,Бул тамаша кiтап болды,positive
161,Бул онiм сапасы төмен болды,negative
162,Фильмнин музикасы керемет болды,positive
163,Кинодан коп жаксы нарселер уйрендiм,positive
164,Сапасыз қызмет көрсетілді,negative
165,Фильм катты унамады,negative
166,Кино катты курделi болды,neutral
167,Бул онiмнин сапасы жаксы емес,negative
168,Оте жаксы мага унады,positive
169,Сапасыз тауар сатты,negative
170,Бул спектакль керемет болды,positive
171,Бул фильм мага жаман унады,negative
172,Сапасы оте жаксы болды,positive
173,Мен осы тауарды унаттым,positive
174,Кино коптеген жагдайда арзан,neutral
175,Бул фильм оте узак болды,negative
176,Кино сапасы жаксы болды,positive
177,Тауар сапасыз болды,negative
178,Мен осындай кызметке куаныштымын,positive
179,Бул фильм кундер бола алмайды,neutral
180,Оте жаксы кызмет корсету,positive
181,Сапасыз тауар сатып алдым,negative
182,Бул керемет тауар,positive
183,Оте нашар кызмет,negative
184,Сапасы жок унамады,negative
185,Бул сервис жаксы емес,negative
186,Тауар тамаша болды,positive
187,Бул онiм мага жаксы әсер бердi,positive
188,Сапасыз тауар сатып алдым,negative
189,Мен кино керемет болды деп ойлаймын,positive
190,Кино оте жаман болды,negative
191,Оте жаксы кино болды,positive
192,Сапасыз маган унамады,negative
193,Оте жаксы тауылды,positive
194,Бул фильм мага жаксы унады,positive
195,Бул жер тым жайсыз болды,negative
196,Тауар коптен устiнде жаксы емес,negative
197,Бул компания оте жаксы,positive
198,Бул фильм менин кунiмди кулкыландырды,positive
199,Бул тауар оте кымбат,negative
200,Оте жаксы маган катты унады,positive
201,Бул жоба менин кызыгымды болмады,negative
202,Кызмет корсету тым созылды,negative
203,Мен буган куаныштымын,positive
204,Бул фильм оте кызыксыз,negative
205,Бул тауар сапасы томен,negative
206,Кызмет жаксы емес,negative
207,Оте нашар маган унамады,negative
208,Бул кино жаксы емес,negative
209,Фильм мага катты унады,positive
210,Бул жоба кызыксыз болды,negative
211,Фильм куаныш беретiн болды,positive
212,Бул онiм оте кызыкты болды,positive
213,Фильм оте жагымды болды,positive
214,Кино узак болды шаршатты,negative
215,Бул онiм жаксы емес,negative
216,Мен осындай кино унатамын,positive
217,Тауар оте нашар болды,negative
218,Бул кино оте куаныш беретiн,positive
219,Мен осындай онiм унатпаймын,negative
220,Бул фильм менин кунiмдi жаксы етти,positive
221,Бул жерде жаксы кызмет корсету жок,negative
222,Тауар сапасыз болды,negative
223,Мен бул киноны унаттым,positive
224,Бул онiм оте нашар,negative
225,Мен бул киноны жаксы деп санаймын,positive
226,Оте жаман тауар мен сатып алмадым,negative
227,Бул фильм маган жаксы болды,positive
228,Бул тауарды жаксы деп ойламаймын,negative
229,Бул кино оте бакыт бердi,positive
230,Бул онiм сапасыз болды,negative
231,Бул кино керемет мен куаныштымын,positive
232,Бул жер тым суык болды,negative
233,Фильм куаныш беретiн болды,positive
234,Бул кызмет нашар болды,negative
235,Кино жагымды болды,positive
236,Бул тауар оте нашар болды,negative
237,Фильм мага унады,positive
238,Бул жоба менин кызыгымды болмады,negative
239,Бул кино жалыктырды,negative
240,Бул кызмет тамаша болды,positive
241,Бул тауар оте сапасыз болды,negative
242,Бул жер тамаша болды,positive
243,Оте жаксы кино болды,positive
244,Бул жоба менин кызыгымды болмады,negative
245,Фильм керемет болды,positive
246,Тауар коптен бери устiнде жаксы емес,negative
247,Бул компания оте жаксы,positive
248,Мен осы кино куаныштымын,positive
249,Фильм тым баяу болды,negative
250,Бул тауар сапасыз болды,negative
251,Бул кино жагымды болды,positive
252,Кино узак болды шаршатты,negative
253,Мен буган куаныштымын,positive
254,Бул тауарды сатып алмадым,negative
255,Мен осы кино унатамын,positive
256,Бул тауар оте жаман,negative
257,Бул кино мага куаныш бердi,positive
258,Бул онiм сапасыз болды,negative
259,Мен киноны унаттым,positive
260,Бул кызмет оте нашар болды,negative
261,Бул кино тамаша болды,positive
262,Мен кино оте кызык болды деп ойлаймын,positive
263,Бул жер тым суык болды,negative
264,Мен осындай кино унатпаймын,negative
265,Бул кино мага жаксы унады,positive
266,Бул тауар жаксы емес,negative
267,Мен бул киноны катты унаттым,positive
268,Бул кызмет оте нашар болды,negative
269,Бул кино менин кунiмдi жаксы етти,positive
270,Оте нашар кызмет,negative
271,Бул кино оте куаныш беретiн,positive
272,Мен осындай кино унатпаймын,negative
273,Бул кино жаксы емес,negative
274,Бул кино катты жаксы,positive
275,Кино оте кызык болды,positive
276,Тауар сапасыз болды,negative
277,Бул кино оте бакыт бердi,positive
278,Кызмет корсету сапасы тым томен,negative
279,Кино катты жаксы болды,positive
280,Бул жер тым жайсыз болды,negative
281,Мен осындай тауарды унатпаймын,negative
282,Фильм кызыксыз болды,negative
283,Бул кино менин кунiмдi бакыт етти,positive
284,Бул тауар оте сапасыз болды,negative
285,Фильм оте жагымды болды,positive
286,Оте жаксы маган катты унады,positive
287,Бул кино тым созылды,negative
288,Бул кино катты унамады,negative
289,Бул кызмет томен болды,negative
290,Бул кино жаксы деп санаймын,positive
291,Кинонын аягы жаман болды,negative
292,Оте жаксы кино болды,positive
293,Бул кызмет томен болды,negative
294,Кино узак болды шаршатты,negative
295,Бул тауар сапасыз болды,negative
296,Бул онiм маган жаксы әсер бердi,positive
297,Оте жаксы кино болды,positive
298,Бул кино куаныш беретiн болды,positive
299,Бул онiм жаксы емес,negative
300,Бул кино маган катты унамады,negative
301,Бул кино оте кызык болды,positive
302,Бул тауар оте жаман болды,negative
303,Оте куаныштымын,positive
304,Бул кино жагымды болды,positive
305,Оте жаксы кызмет корсету,positive
306,Бул кино катты жаксы болды,positive
307,Бул кино куаныш беретiн болды,positive
308,Оте жаксы кино болды,positive
309,Бул кино катты жагымды болды,positive
310,Бул онiм оте сапасыз болды,negative
311,Фильм мага унады,positive
312,Бул кино катты унамады,negative
313,Бул кызмет оте нашар болды,negative
314,Фильм куаныш беретiн болды,positive
315,Бул кино оте жаман болды,negative
316,Фильм куаныш беретiн болды,positive
317,Бул кино катты унамады,negative
318,Бул кино керемет болды,positive
319,Бул онiм сапасыз болды,negative
320,Бул кино катты жагымды болды,positive
321,Бул тауар оте сапасыз болды,negative
322,Бул кино жаксы емес,negative
323,Фильм мага катты унамады,negative
324,Оте куаныштымын,positive
325,Бул кино жаксы емес,negative
326,Фильм куаныш беретiн болды,positive
327,Бул тауар сапасыз болды,negative
328,Оте жаксы кино болды,positive
329,Бул кино катты жагымды болды,positive
330,Бул кино маган куаныш бердi,positive
331,Бул онiм сапасыз болды,negative
332,Фильм мага унады,positive
333,Бул кино катты унамады,negative
334,Бул кызмет оте нашар болды,negative
335,Фильм куаныш беретiн болды,positive
336,Бул кино оте жаман болды,negative
337,Фильм куаныш беретiн болды,positive
338,Бул кино катты унамады,negative
339,Бул кино керемет болды,positive
340,Бул онiм сапасыз болды,negative
341,Бул кино катты жагымды болды,positive
342,Бул тауар оте сапасыз болды,negative
343,Бул кино жаксы емес,negative
344,Фильм мага катты унамады,negative
345,Оте куаныштымын,positive
346,Бул кино жаксы емес,negative
347,Фильм куаныш беретiн болды,positive
348,Бул тауар сапасыз болды,negative
349,Оте жаксы кино болды,positive
350,Бул кино катты жагымды болды,positive
351,Бул кино маган куаныш бердi,positive
352,Бул онiм сапасыз болды,negative
353,Фильм мага унады,positive
